% Model,200309_CounterPump6 _temp5.mph,,
% Version,COMSOL 5.6.0.280,,
% Date,"Jun 18 2022, 08:33",,
% Dimension,3,,
% Nodes,40514,,
% Expressions,1,,
% Description,,,
% Length unit,cm,,
% X,Y,Z,u1 (1)
0.502602606,1.329954566,0.129939096,0.048040714
0.533746973,1.400173257,0.068008249,0.045940174
0.482796249,1.181203312,0.186230519,0.059004612
0.513205579,1.249407908,0.124153679,0.05171208
0.543614909,1.317612505,0.06207684,0.047304578
0.574024238,1.385817102,0,0.045782106
0.535837773,1.385055384,0.210939146,0.047980495
0.546065944,1.303899998,0.204888183,0.049474033
0.578373644,1.376570145,0.143161393,0.046725639
0.556294114,1.222744613,0.19883722,0.053225525
0.587866777,1.293400666,0.136964438,0.04817017
0.61943944,1.364056718,0.075091656,0.045999845
0.620673648,1.348064121,0.217906423,0.048169455
0.629791979,1.264285914,0.211443921,0.049694112
0.662527975,1.337393423,0.149775196,0.046875933
0.703289844,1.305827215,0.224050621,0.048410372
0.659497329,1.315230646,0.291940398,0.050128475
0.58506439,1.271753598,0.27885577,0.051778237
0.613834666,1.320762583,0.35887432,0.052474864
0.510631451,1.22827655,0.265771142,0.055675672
0.538466653,1.275349787,0.345311765,0.054490648
0.575742325,1.355354126,0.285467313,0.049868719
0.500199547,1.309254256,0.271971146,0.051539319
0.402213011,1.288307588,0.216463108,0.053242046
0.413551021,1.209775024,0.210823684,0.05917743
0.441386223,1.256848262,0.290364307,0.056174269
0.344305793,1.238346736,0.235416849,0.05903067
0.731444711,1.043222938,0.200217532,0.059473692
0.802989523,1.075762044,0.210519294,0.053575853
0.722059756,1.130757697,0.208161895,0.053528684
0.874534335,1.108301151,0.220821056,0.049906743
0.79537289,1.165919927,0.218951658,0.04985595
0.7126748,1.218292456,0.216106258,0.04984091
0.946079146,1.140840257,0.231122818,0.048466359
0.868686025,1.201082156,0.229741421,0.048411944
0.787756257,1.256077809,0.227384022,0.048393281
0.754019579,1.090432323,0.285302923,0.05652273
0.827165503,1.125105048,0.296234577,0.052432843
0.746079347,1.18036205,0.293900698,0.05235543
0.900311428,1.159777773,0.307166231,0.050571684
0.820993594,1.217657898,0.305320353,0.050490648
0.738139114,1.270291776,0.302498473,0.050445364
0.776594446,1.137641708,0.370388313,0.055732233
0.851341484,1.174448052,0.38194986,0.053450298
0.770098937,1.229966403,0.3796395,0.05334264
0.799169314,1.184851093,0.455473704,0.0571022
0.765414689,1.111216386,0.133478355,0.051893383
0.838671912,1.146053589,0.144002534,0.048283768
0.799384667,1.179209833,0.066739177,0.047339169
0.911929135,1.180890793,0.154526714,0.046902881
0.874354301,1.216345134,0.077485774,0.046017777
0.833354646,1.247203281,0,0.045811048
0.757376251,1.200988291,0.141619047,0.048256404
0.832401796,1.238448618,0.152631227,0.046871894
0.792692746,1.271218885,0.075076199,0.046010219
0.749337812,1.290760196,0.149759739,0.04687666
0.243133914,1.298915175,0.709721965,0.077050408
0.251942656,1.341383998,0.622261071,0.068411287
0.249803416,1.23931318,0.666847301,0.07932525
0.259669277,1.378100786,0.532358021,0.061492588
0.258071098,1.278905985,0.578165329,0.070078815
0.256472918,1.179711185,0.623972638,0.084580931
0.265256659,1.312746756,0.487041201,0.062552802
0.26419954,1.216427973,0.534069588,0.074727183
0.263142421,1.12010919,0.581097974,0.092817452
0.162603774,1.333563669,0.667205936,0.072682139
0.170910469,1.373425068,0.578293763,0.064891072
0.169016027,1.271121081,0.622972999,0.074823645
0.178135044,1.407534432,0.486939433,0.058820427
0.176781662,1.308106463,0.532839748,0.066425265
0.17542828,1.208678494,0.578740062,0.079945991
0.081559136,1.362530978,0.62197336,0.068529465
0.089363785,1.399784953,0.531609908,0.061586452
0.08771414,1.297247798,0.57638215,0.070537635
8.49E-17,1.385817102,0.574024238,0.064592385
0.308842024,1.298256428,0.68494197,0.0743545
0.373802462,1.294757658,0.65869035,0.071784702
0.31513769,1.237234422,0.641331494,0.076352122
0.438015228,1.288418866,0.630967104,0.069341013
0.379724292,1.23231564,0.614344061,0.073505105
0.321433356,1.176212415,0.597721018,0.081330584
0.317440587,1.339128193,0.596595756,0.066270582
0.382190846,1.334032365,0.569458814,0.064255987
0.323195193,1.275230169,0.551764201,0.067660891
0.324957029,1.374247923,0.505807384,0.059907086
0.441992579,1.252204215,0.69758535,0.075424198
0.37744865,1.257730258,0.724996625,0.07843392
0.383134005,1.194523172,0.680027843,0.081361843
0.312157049,1.260416278,0.750936274,0.081569753
0.318216239,1.198629204,0.706703306,0.084774896
0.32427543,1.136842129,0.662470337,0.090960878
0.444834653,1.21283393,0.762334669,0.082797464
0.37995956,1.217547222,0.789433973,0.086373222
0.38540844,1.153575069,0.7438427,0.090508665
0.446541449,1.170308009,0.825215062,0.091460814
0.269546195,1.0757738,0.637016967,0.105455027
0.27594997,1.031438411,0.69293596,0.12002084
0.330679205,1.09250674,0.71838933,0.102182088
0.282353744,0.987103021,0.748854953,0.136514891
0.337082979,1.04817135,0.774308322,0.115331538
0.391812214,1.10923968,0.799761692,0.100313512
0.262876693,1.135375795,0.679891631,0.095154844
0.269280467,1.091040406,0.735810623,0.107656995
0.324620014,1.154293814,0.762622298,0.093932444
0.256207191,1.194977791,0.722766294,0.087835501
0.384116202,1.160063937,0.869887585,0.097945099
0.320752304,1.14674796,0.912186978,0.104963907
0.316997326,1.206220808,0.833366719,0.092059206
0.256449755,1.130360076,0.95211324,0.112517238
0.253096441,1.191822488,0.874926334,0.098279713
0.248657828,1.248007521,0.794129242,0.086457436
0.328917641,1.097459655,0.84324765,0.109009818
0.265084418,1.082607724,0.884360478,0.118240647
0.261188454,1.141431447,0.805368479,0.10183045
0.273719081,1.034855373,0.816607715,0.126239865
0.301565067,0.854096853,0.916611931,0.196621473
0.29311124,0.874732254,0.996164795,0.189116481
0.369569562,0.891969202,0.953925436,0.169062349
0.284657413,0.895367655,1.075717659,0.178006215
0.361808445,0.914273701,1.035413312,0.162060503
0.437574056,0.929841551,0.991238942,0.146502268
0.276203586,0.916003056,1.155270523,0.163290674
0.354047328,0.936578199,1.116901187,0.151453383
0.43050565,0.953815147,1.074661829,0.140003568
0.50557855,0.9677139,1.028552448,0.128941231
0.28652663,0.946184594,0.928445701,0.159129425
0.278653177,0.969049695,1.010294752,0.15333685
0.3554259,0.986520508,0.96808491,0.139112148
0.270779725,0.991914796,1.092143804,0.143939001
0.348245158,1.011054706,1.051868973,0.13382272
0.424325171,1.026856421,1.007724119,0.124093916
0.271488192,1.038272335,0.94027947,0.131094679
0.264195114,1.063367136,1.02442471,0.127014523
0.341282239,1.081071813,0.982244383,0.118619251
0.405237401,1.095743252,0.940785386,0.110055521
0.335321416,1.053124266,0.899166643,0.120782622
0.487932947,1.039811415,0.964732386,0.114519786
0.418911738,0.999655993,0.925439347,0.127789691
0.349890528,0.959500572,0.886146308,0.146058639
